,,model,group,stimulus,parsed_sent,sent,human_judgment,,tregex_judgment
132,295,gibbscomplete,clause_VP-with-adjunct-long,%% rented for a surprise party that she had been planning for weeks offered %%.,(S (CC But) (NP (NP (DT the) (NN hotel) (NN suite)) (SBAR (S (NP (PRP she)) (VP (VBD had) (VP (VBN rented) (PP (IN for) (NP (NP (DT a) (NN surprise) (NN party)) (SBAR (WHNP (IN that)) (S (NP (PRP she)) (VP (VBD had) (VP (VBN been) (VP (VBG planning) (PP (IN for) (NP (NNS weeks))))))))))))))) (VP (VBD offered) (PP (IN for) (NP (NP (RBR more)) (PP (IN than) (NP (RB just) (DT a) (JJ decent) (NN meal)))))) (. .)),But the hotel suite she had rented for a surprise party that she had been planning for weeks offered for more than just a decent meal.,1,,1
133,223,gibbscomplete,clause_VP-with-adjunct-long,%% rented for a surprise party that she had been planning for weeks offered %%.,(S (NP (PRP It)) (VP (VBD was) (ADVP (RB also)) (VP (VBN rented) (PP (IN for) (NP (NP (NP (DT a) (NN surprise) (NN party)) (SBAR (WHNP (IN that)) (S (NP (PRP she)) (VP (VBD had) (VP (VBN been) (VP (VBG planning) (PP (IN for) (NP (NNS weeks))))))))) (VP (VBD offered) (S (VP (TO to) (VP (VB be) (VP (VBN held) (PP (IN at) (NP (DT the) (JJ same) (NN time)))))))))))) (. .)),It was also rented for a surprise party that she had been planning for weeks offered to be held at the same time.,0,,0
134,173,gibbscomplete,clause_VP-with-adjunct-long,%% promoted during the most difficult time started %%.,(S (NP (PRP It)) (ADVP (RB also)) (VP (VBZ shows) (SBAR (NP (NP (WDT which) (NP (NNS men))) (SBAR (WHNP (WP who)) (S (VP (VBD were) (VP (VBN promoted) (PP (IN during) (NP (DT the) (ADJP (RBS most) (JJ difficult)) (NN time)))))))) (VP (VBD started) (S (VP (VBG working) (NP (PRP$ their) (NN way)) (PP (IN through) (NP (DT the) (NNS ranks))) (S (VP (TO to) (VP (VB gain) (NP (NNS favors)))))))))) (. .)),It also shows which men who were promoted during the most difficult time started working their way through the ranks to gain favors.,1,,1
135,359,gibbscomplete,clause_VP-with-adjunct-long,%% promoted during the most difficult time started %%.,"(S (PP (IN In) (NP (DT the) (NN war))) (, ,) (NP (PRP he)) (VP (VBD was) (VP (VBN promoted) (PP (IN during) (NP (NP (DT the) (ADJP (RBS most) (JJ difficult)) (NN time)) (VP (VBN started)) (, ,) (SBAR (WHPP (IN during) (WHNP (WDT which))) (S (NP (PRP he)) (VP (VBD commanded) (NP (JJ 3rd) (PRN (-LRB- -LRB-) (JJ 4th) (-RRB- -RRB-)) (NN Division))))))))) (. .))","In the war, he was promoted during the most difficult time started, during which he commanded 3rd -LRB- 4th -RRB- Division.",1,,0
136,216,gibbscomplete,clause_VP-with-complement-long,%% benefited the company by promoting connections between potential business partners was %%.,"(S (S (VP (VBG Having) (NP (DT a) (JJ strong) (NN internet) (NN presence)) (PP (IN at) (NP (NN work))) (, ,) (SBAR (WHNP (WDT which)) (S (VP (VBD benefited) (NP (DT the) (NN company)) (PP (IN by) (S (VP (VBG promoting) (NP (NP (NNS connections)) (PP (IN between) (NP (JJ potential) (NN business) (NNS partners)))))))))))) (VP (VBD was) (NP (NP (CD one)) (PP (IN of) (NP (PRP$ its) (ADJP (RBS most) (JJ important)) (NNS features))))) (. .))","Having a strong internet presence at work, which benefited the company by promoting connections between potential business partners was one of its most important features.",1,,1
137,275,gibbscomplete,clause_VP-with-complement-long,%% benefited the company by promoting connections between potential business partners was %%.,(S (SBAR (WHNP (WP What)) (S (VP (VBD benefited) (NP (DT the) (NN company)) (PP (IN by) (S (VP (VBG promoting) (NP (NP (NNS connections)) (PP (IN between) (NP (JJ potential) (NN business) (NNS partners)))))))))) (VP (VBD was) (S (VP (TO to) (VP (VB enable) (S (NP (NNS companies)) (VP (TO to) (VP (VB make) (NP (ADJP (RBR more) (VBN informed)) (NNS decisions))))))))) (. .)),What benefited the company by promoting connections between potential business partners was to enable companies to make more informed decisions.,1,,1
138,413,gibbscomplete,clause_VP-with-complement-long,%% invented the methodology that transformed the field of medical research was %%.,(S (CC And) (NP (DT the) (NN fact) (SBAR (IN that) (S (NP (PRP he)) (VP (VBD had) (VP (VBN invented) (NP (NP (DT the) (NN methodology)) (SBAR (WHNP (WDT that)) (S (VP (VBD transformed) (NP (NP (DT the) (NN field)) (PP (IN of) (NP (JJ medical) (NN research))))))))))))) (VP (VBD was) (NP (RB quite) (DT a) (ADJP (RB well) (VBN known)) (NN fact))) (. .)),And the fact that he had invented the methodology that transformed the field of medical research was quite a well known fact.,1,,1
139,167,gibbscomplete,clause_VP-with-complement-long,%% invented the methodology that transformed the field of medical research was %%.,(S (NP (NP (DT The) (JJ same) (JJ distinguished) (NN professor)) (SBAR (WHNP (WP who)) (S (VP (VBD had) (VP (VBN invented) (NP (NP (DT the) (NN methodology)) (SBAR (WHNP (WDT that)) (S (VP (VBD transformed) (NP (NP (DT the) (NN field)) (PP (IN of) (NP (JJ medical) (NN research))))))))))))) (VP (VBD was) (NP (NP (DT the) (NN subject)) (PP (IN of) (NP (NP (CD one)) (PP (IN of) (NP (PRP$ his) (NNS books))))))) (. .)),The same distinguished professor who had invented the methodology that transformed the field of medical research was the subject of one of his books.,1,,1
140,132,gibbscomplete,clause_VP-with-complement,%% attended the conference gave %%.,(S (NP (NP (NNS Members)) (PP (IN of) (NP (NNP Congress))) (SBAR (WHNP (WP who)) (S (VP (VBD attended) (NP (DT the) (NN conference)))))) (VP (VBD gave) (NP (NNS speeches))) (. .)),Members of Congress who attended the conference gave speeches.,1,,1
141,69,gibbscomplete,clause_VP-with-complement,%% attended the conference gave %%.,(S (NP (NP (JJ Many) (NNS officials)) (SBAR (WHNP (WP who)) (S (VP (VBD attended) (NP (DT the) (NN conference)))))) (VP (VBD gave) (NP (DT the) (NN impression) (SBAR (IN that) (S (NP (PRP they)) (VP (VBD were) (VP (VBG calling) (NP (DT the) (NNS shots)))))))) (. .)),Many officials who attended the conference gave the impression that they were calling the shots.,1,,1
142,264,gibbscomplete,clause_VP-with-complement,%% founded the institute had %%.,"(S (PP (IN Among) (NP (JJ many) (JJ other) (NNS things))) (, ,) (NP (NP (DT the) (NN work)) (PP (IN of) (NP (NP (DT those)) (SBAR (WHNP (WP who)) (S (VP (VBD founded) (NP (DT the) (NN institute)))))))) (VP (VBD had) (NP (JJ enormous) (NN success))) (. .))","Among many other things, the work of those who founded the institute had enormous success.",1,,1
143,13,gibbscomplete,clause_VP-with-complement,%% founded the institute had %%.,(S (SBAR (IN Before) (S (NP (DT the) (NN institute)) (VP (VBD was) (VP (VBN founded))))) (NP (DT the) (NN institute)) (VP (VBD had) (NP (NP (DT a) (NN number)) (PP (IN of) (NP (NNS programmes))))) (. .)),Before the institute was founded the institute had a number of programmes.,1,,1
144,425,gibbscomplete,clause_VP,%% drank smelled %%.,"(S (ADVP (NP (DT A) (JJ long) (NN time)) (RB ago)) (, ,) (NP (NP (JJS most)) (PP (IN of) (NP (NP (DT the) (NN liquor)) (SBAR (S (NP (PRP I)) (VP (VBD drank))))))) (VP (VBD smelled) (ADJP (JJ delicious))) (. .))","A long time ago, most of the liquor I drank smelled delicious.",1,,1
145,430,gibbscomplete,clause_VP,%% drank smelled %%.,"(S (IN Because) (S (PP (IN up) (PP (IN until) (NP (RB now)))) (, ,) (NP (NP (DT all)) (SBAR (S (NP (PRP I)) (VP (VBD drank))))) (VP (VBD smelled) (PP (IN of) (NP (NN soup) (CC and) (NN beer))))) (. .))","Because up until now, all I drank smelled of soup and beer.",1,,1
146,384,gibbscomplete,clause_VP,%% earned proved %%.,(S (NP (NP (DT Every) (JJ last) (CD one)) (SBAR (WHNP (IN that)) (S (NP (PRP she)) (VP (VBD had) (VP (VBN earned)))))) (VP (VBD proved) (S (VP (TO to) (VP (VB be) (ADJP (RB too) (JJ much)))))) (. .)),Every last one that she had earned proved to be too much.,1,,1
147,109,gibbscomplete,clause_VP,%% earned proved %%.,(S (NP (NP (DT the) (CD four) (NNS points)) (SBAR (WHNP (IN that)) (S (NP (PRP he)) (VP (VBD earned))))) (VP (VBD proved) (ADJP (JJ enough) (S (VP (TO to) (VP (VB put) (NP (DT the) (NN team)) (PP (IN out) (PP (IN of) (NP (DT the) (NNS playoffs))))))))) (. .)),the four points that he earned proved enough to put the team out of the playoffs.,1,,1
148,111,gibbscomplete,clause_phrasal-verb-with-subj,%% the author of award-winning book heard about.,"(S (SBAR (IN While) (S (ADVP (RB still)) (IN in) (NP (NNP Cambridge)))) (, ,) (NP (PRP he)) (VP (VBD went) (PRT (RP on)) (S (VP (TO to) (VP (VB be) (NP (NP (DT the) (NN author)) (PP (IN of) (NP (NP (NN award) (: -) (NP (JJ winning) (NN book))) (VP (VBD heard) (PP (IN about)))))))))) (. .))","While still in Cambridge, he went on to be the author of award - winning book heard about.",0,,0
149,391,gibbscomplete,clause_phrasal-verb-with-subj,%% the author of award-winning book heard about.,(S (PP (IN On) (NP (DT the) (JJ other) (NN hand))) (NP (DT this)) (VP (VBD was) (NP (NP (DT the) (NN world)) (SBAR (S (NP (NP (DT the) (NN author)) (PP (IN of) (NP (NN award) (: -) (JJ winning) (NN book)))) (VP (VBD heard) (PP (IN about))))))) (. .)),On the other hand this was the world the author of award - winning book heard about.,1,,1
150,345,gibbscomplete,clause_phrasal-verb-with-subj,%% the committee of cultural heritage complained about.,(S (NP (DT This)) (VP (VBD was) (NP (NP (DT an) (NN incident)) (SBAR (WHNP (IN that)) (S (NP (NP (PRP$ his) (JJ fellow) (NNS members)) (PP (IN in) (NP (NP (DT the) (NNP committee)) (PP (IN of) (NP (NNP cultural) (NNP heritage)))))) (VP (VBD complained) (PP (IN about))))))) (. .)),This was an incident that his fellow members in the committee of cultural heritage complained about.,1,,1
151,139,gibbscomplete,clause_phrasal-verb-with-subj,%% the committee of cultural heritage complained about.,(S (NP (DT This)) (VP (VBD was) (RB not) (NP (NP (DT the) (JJ only) (NN one)) (SBAR (WHNP (IN that)) (S (NP (NP (DT the) (NNP committee)) (PP (IN of) (NP (NNP cultural) (NNP heritage)))) (VP (VBD complained) (PP (IN about))))))) (. .)),This was not the only one that the committee of cultural heritage complained about.,1,,1
152,102,gibbscomplete,clause_phrasal-verb,%% struggled with.,(S (NP (DT This)) (VP (VBD was) (NP (NP (DT the) (JJS hardest)) (SBAR (S (NP (PRP I)) (VP (VBD had) (ADVP (RB ever)) (VP (VBN struggled) (PP (IN with)))))))) (. .)),This was the hardest I had ever struggled with.,1,,1
153,342,gibbscomplete,clause_phrasal-verb,%% struggled with.,(S (CC But) (NP (EX there)) (VP (VBD was) (NP (NP (CD one) (NN thing)) (SBAR (S (NP (PRP she)) (VP (VBD struggled) (PP (IN with))))))) (. .)),But there was one thing she struggled with.,1,,1
154,163,gibbscomplete,clause_phrasal-verb,%% believed in.,(S (NP (PRP It)) (VP (VBD was) (NP (NP (NN something)) (SBAR (S (NP (PRP she)) (VP (VBD had) (ADVP (RB always)) (VP (VBN believed) (PP (IN in)))))))) (. .)),It was something she had always believed in.,1,,1
155,473,gibbscomplete,clause_phrasal-verb,%% believed in.,(S (NP (PRP I)) (VP (VBD had) (NP (NP (DT no) (NN idea)) (SBAR (WHNP (WP what)) (S (NP (PRP I)) (VP (VBD believed) (PP (IN in))))))) (. .)),I had no idea what I believed in.,1,,0
156,22,gibbscomplete,clause_resultative-long,%% song from an old broadway musical popular.,(S (NP (DT The) (NNS lyrics)) (VP (VBD were) (ADVP (RBS most) (RB likely)) (VP (VBN inspired) (PP (IN by) (NP (NP (DT a) (NN song)) (PP (IN from) (NP (DT an) (JJ old) (NNP broadway) (NN musical) (NN popular))))))) (. .)),The lyrics were most likely inspired by a song from an old broadway musical popular.,0,,0
157,157,gibbscomplete,clause_resultative-long,%% song from an old broadway musical popular.,(S (NP (NP (DT The) (NN theme) (NN song)) (PP (IN of) (NP (DT this) (NN series)))) (VP (VBZ is) (NP (NP (DT the) (JJ official) (NN title) (NN song)) (PP (IN from) (NP (DT an) (JJ old) (NNP broadway) (NN musical) (NN popular))))) (. .)),The theme song of this series is the official title song from an old broadway musical popular.,0,,0
158,203,gibbscomplete,clause_resultative-long,%% decision of selling the car unwise.,"(S (PP (IN At) (ADJP (NP (CD 46) (NNS years)) (JJ old))) (, ,) (NP (PRP he)) (VP (VBD found) (S (NP (NP (DT the) (NN decision)) (PP (IN of) (S (VP (VBG selling) (NP (DT the) (NN car)))))) (ADJP (JJ unwise)))) (. .))","At 46 years old, he found the decision of selling the car unwise.",1,,1
159,338,gibbscomplete,clause_resultative-long,%% decision of selling the car unwise.,(S (NP (PRP He)) (VP (VP (VBD knew) (SBAR (WHNP (WP what)) (S (NP (PRP he)) (VP (VBD was) (VP (VBG doing)))))) (CC and) (VP (VBD made) (S (NP (NP (DT the) (JJ quick) (NN decision)) (PP (IN of) (S (VP (VBG selling) (NP (DT the) (NN car)))))) (ADJP (JJ unwise))))) (. .)),He knew what he was doing and made the quick decision of selling the car unwise.,1,,1
160,422,gibbscomplete,clause_resultative,%% event special.,(S (NP (NP (CD One)) (PP (IN of) (NP (PRP them)))) (VP (VBD was) (NP (NP (DT a) (NN guy)) (SBAR (WHNP (WP who)) (S (VP (VBD worked) (PP (IN on) (NP (DT an) (NN event) (NN special)))))))) (. .)),One of them was a guy who worked on an event special.,0,,0
161,503,gibbscomplete,clause_resultative,%% event special.,"(S (ADVP (RB Fortunately)) (, ,) (NP (DT that)) (VP (VBD was) (RB not) (NP (DT an) (NN event) (JJ special))) (. .))","Fortunately, that was not an event special.",0,,0
162,440,gibbscomplete,clause_resultative,%% growth steady.,(S (NP (PRP We)) (VP (MD will) (VP (VB keep) (S (NP (NP (DT the) (NN rate)) (PP (IN of) (NP (NN growth)))) (ADJP (JJ steady))))) (. .)),We will keep the rate of growth steady.,1,,1
163,284,gibbscomplete,clause_resultative,%% growth steady.,(S (NP (NP (DT This) (NN kind)) (PP (IN of) (NP (NN investment)))) (VP (VBD was) (NP (NP (DT a) (JJ good) (NN way)) (SBAR (S (VP (TO to) (VP (VB keep) (S (NP (NN growth)) (ADJP (JJ steady))))))))) (. .)),This kind of investment was a good way to keep growth steady.,1,,1
164,194,gibbscomplete,coord_S,%% trees and the atrium is %%.,(S (S (NP (DT The) (NNS walls)) (VP (VBP are) (VP (VBN lined) (PP (IN with) (NP (NN palm) (NNS trees)))))) (CC and) (S (NP (DT the) (NN atrium)) (VP (VBZ is) (VP (VBN decorated) (PP (IN with) (NP (NN marble) (NNS sculptures)))))) (. .)),The walls are lined with palm trees and the atrium is decorated with marble sculptures.,1,,1
165,88,gibbscomplete,coord_S,%% trees and the atrium is %%.,(S (NP (NP (JJS Most)) (PP (IN of) (NP (NP (DT the) (NN area)) (PP (IN between) (NP (NP (DT the) (NNS trees)) (CC and) (NP (DT the) (NN atrium))))))) (VP (VBZ is) (VP (VBN used) (PP (IN as) (NP (DT the) (NN office) (CC and) (NN dining) (NN area))))) (. .)),Most of the area between the trees and the atrium is used as the office and dining area.,1,,0
166,505,gibbscomplete,coord_S,%% surprise but the judge noted %%.,"(S (S (ADVP (RB Apparently)) (NP (PRP they)) (VP (VBD took) (NP (PRP me)) (, ,) (PP (JJ much) (TO to) (NP (PRP$ my) (NN surprise))))) (CC but) (S (NP (DT the) (NN judge)) (VP (VBD noted) (SBAR (IN that) (S (NP (DT the) (NN judge)) (VP (VBD had) (VP (VBN told) (NP (PRP me)) (S (VP (TO to) (VP (VB go) (PP (IN with) (NP (PRP them)))))))))))) (. .))","Apparently they took me, much to my surprise but the judge noted that the judge had told me to go with them.",1,,1
167,158,gibbscomplete,coord_S,%% surprise but the judge noted %%.,(S (S (NP (PRP$ Her) (NNS eyes)) (VP (VBD widened) (PP (IN in) (NP (NN surprise))))) (CC but) (S (NP (DT the) (NN judge)) (VP (VBD noted) (SBAR (IN that) (S (NP (PRP she)) (VP (VBD was) (ADVP (RB legitimately)) (PP (IN in) (NP (NNS tears)))))))) (. .)),Her eyes widened in surprise but the judge noted that she was legitimately in tears.,1,,1
168,434,gibbscomplete,coord_VP,%% farm and joined a %%.,(S (ADVP (NP (DT A) (NN year)) (RB later)) (NP (PRP he)) (VP (VP (VBD was) (VP (VBG working) (PP (IN on) (NP (PRP$ his) (NN farm))))) (CC and) (VP (VBD joined) (NP (DT a) (NN grocery) (NN store))) (PP (IN before) (S (VP (VBG retiring) (PP (IN at) (NP (NP (DT the) (NN age)) (PP (IN of) (NP (CD 31))))))))) (. .)),A year later he was working on his farm and joined a grocery store before retiring at the age of 31.,1,,1
169,509,gibbscomplete,coord_VP,%% farm and joined a %%.,(S (NP (PRP He)) (VP (VP (VBD left) (NP (DT the) (NN farm))) (CC and) (VP (VBD joined) (NP (DT a) (NN chocolate) (NN shop)) (S (VP (TO to) (VP (VB pursue) (NP (NP (DT a) (NN career)) (PP (IN in) (NP (NN chocolate) (NN making))))))))) (. .)),He left the farm and joined a chocolate shop to pursue a career in chocolate making.,1,,1
170,70,gibbscomplete,coord_VP,%% stores but started a %%.,(S (NP (PRP He)) (VP (VP (VBD closed) (NP (NP (JJS most)) (PP (IN of) (NP (PRP$ his) (NNS stores))))) (CC but) (VP (VBD started) (NP (DT a) (JJ general) (NN merchandise) (NN business)) (PP (IN in) (NP (DT the) (NNS 1920s))))) (. .)),He closed most of his stores but started a general merchandise business in the 1920s.,1,,1
171,371,gibbscomplete,coord_VP,%% stores but started a %%.,(S (NP (DT The) (NN company)) (VP (VP (VBD closed) (NP (PRP$ its) (NNS stores))) (CC but) (VP (VBD started) (NP (NP (DT a) (NN distribution) (NN system)) (PP (IN for) (NP (PRP$ its) (NNS products)))) (PP (IN in) (NP (DT the) (JJ late) (NNS 1990s))))) (. .)),The company closed its stores but started a distribution system for its products in the late 1990s.,1,,1
172,42,gibbscomplete,coord_either,%% either book a ticket from the official website of %%.,"(S (PP (IN In) (NP (JJ certain) (NNS cases))) (, ,) (NP (NN club) (NN staff)) (VP (MD may) (VP (RB either) (VP (VB book) (NP (NP (DT a) (NN ticket)) (PP (IN from) (NP (NP (DT the) (JJ official) (NN website)) (PP (IN of) (NP (DT the) (NN club))))))) (CC or) (VP (VB use) (NP (NP (JJ various) (NNS parts)) (PP (IN of) (NP (DT the) (NN website))))))) (. .))","In certain cases, club staff may either book a ticket from the official website of the club or use various parts of the website.",1,,1
173,462,gibbscomplete,coord_either,%% either book a ticket from the official website of %%.,(S (INTJ (VB Please)) (CC either) (VB book) (NP (NP (DT a) (NN ticket)) (PP (IN from) (NP (NP (DT the) (JJ official) (NN website)) (PP (IN of) (NP (DT the) (NNP United) (NNPS Airlines)))))) (CC or) (S (NP (DT the) (NN ticket)) (VP (MD will) (VP (VB be) (VP (VBN canceled))))) (. .)),Please either book a ticket from the official website of the United Airlines or the ticket will be canceled.,1,,0
174,141,gibbscomplete,coord_either,%% either ask the journalist who wrote the original story published in the most %%.,(S (NP (DT The) (JJ next) (NN step)) (VP (VBZ is) (S (VP (TO to) (VP (RB either) (VP (VB ask) (NP (NP (DT the) (NN journalist)) (SBAR (WHNP (WP who)) (S (VP (VBD wrote) (NP (NP (DT the) (JJ original) (NN story)) (VP (VBN published) (PP (IN in) (NP (NP (DT the) (ADJP (RBS most) (JJ recent)) (NN edition)) (PP (IN of) (NP (DT the) (NN magazine)))))))))))) (CC or) (VP (VB question) (NP (DT the) (NN editor))))))) (. .)),The next step is to either ask the journalist who wrote the original story published in the most recent edition of the magazine or question the editor.,1,,1
175,337,gibbscomplete,coord_either,%% either ask the journalist who wrote the original story published in the most %%.,(S (NP (PRP They)) (ADVP (RB either)) (VP (VBP ask) (NP (NP (NP (DT the) (NN journalist)) (SBAR (WHNP (WP who)) (S (VP (VBD wrote) (NP (NP (DT the) (JJ original) (NN story)) (VP (VBN published) (PP (IN in) (NP (DT the) (ADJP (RBS most) (JJ complete)) (NN form))))))))) (CC or) (NP (NP (DT the) (NN author)) (SBAR (WHNP (WP who)) (S (VP (VBD wrote) (NP (DT the) (JJ original) (NN story)))))))) (. .)),They either ask the journalist who wrote the original story published in the most complete form or the author who wrote the original story.,1,,0
176,514,gibbscomplete,coord_emb-NP,%% the critics of the policy and reporters from other media organizations pointed out.,(SINV (ADVP (RB Here)) (VP (VBZ is)) (SBAR (WHNP (WP what)) (S (NP (NP (NP (DT the) (NNS critics)) (PP (IN of) (NP (DT the) (NN policy)))) (CC and) (NP (NP (NNS reporters)) (PP (IN from) (NP (JJ other) (NNS media) (NNS organizations))))) (VP (VBD pointed) (PRT (RP out))))) (. .)),Here is what the critics of the policy and reporters from other media organizations pointed out.,1,,1
177,25,gibbscomplete,coord_emb-NP,%% the critics of the policy and reporters from other media organizations pointed out.,"(S (NP (NNP Trump)) (VP (VBD refused) (S (VP (TO to) (VP (VB make) (NP (NP (DT any) (NN kind)) (PP (IN of) (NP (NN announcement))))))) (, ,) (SBAR (IN as) (S (NP (NP (NP (DT the) (NNS critics)) (PP (IN of) (NP (DT the) (NN policy)))) (CC and) (NP (NP (NNS reporters)) (PP (IN from) (NP (JJ other) (NNS media) (NNS organizations))))) (VP (VBD pointed) (PRT (RP out)))))) (. .))","Trump refused to make any kind of announcement, as the critics of the policy and reporters from other media organizations pointed out.",1,,0
178,10,gibbscomplete,coord_emb-NP,%% many sports players and coaches who retired from the national team planned for.,(SINV (ADVP (RB Also)) (VBN included) (PP (IN as) (NP (NP (NN part)) (PP (IN of) (NP (DT this) (NN list))))) (VP (VBP are)) (NP (NP (DT the) (JJ many) (NNS sports) (NNS players) (CC and) (NNS coaches)) (SBAR (WHNP (WP who)) (S (VP (VBD retired) (PP (IN from) (NP (NP (DT the) (JJ national) (NN team)) (VP (VBN planned) (PP (IN for))))))))) (. .)),Also included as part of this list are the many sports players and coaches who retired from the national team planned for.,0,,0
179,55,gibbscomplete,coord_emb-NP,%% many sports players and coaches who retired from the national team planned for.,(S (NP (DT The) (CD 1996) (NNP Olympic) (NNPS Games)) (VP (VBD was) (NP (NP (DT the) (JJ last) (NNS Games)) (SBAR (WHNP (IN that)) (S (NP (JJ many) (NNS sports) (NNS players) (CC and) (NNS coaches)) (SBAR (WHNP (WP who)) (S (VP (S (VP (VBD retired) (PP (IN from) (NP (DT the) (JJ national) (NN team))))) (VP (VBD planned) (PP (IN for)))))))))) (. .)),The 1996 Olympic Games was the last Games that many sports players and coaches who retired from the national team planned for.,1,,0
180,382,gibbscomplete,coord_emb-VP,%% has been working on for three months and has finally submitted to the editorial board last week was %%.,"(S (PP (IN In) (NP (DT the) (NN end))) (, ,) (NP (NP (DT the) (NN article)) (SBAR (WHNP (IN that)) (S (NP (DT the) (NN editorial)) (VP (VP (VBZ has) (VP (VBN been) (VP (VBG working) (PP (IN on)) (PP (IN for) (NP (CD three) (NNS months)))))) (CC and) (VP (VBZ has) (ADVP (RB finally)) (VP (VBN submitted) (PP (TO to) (NP (DT the) (JJ editorial) (NN board))) (NP (JJ last) (NN week)))))))) (VP (VBD was) (VP (ADVP (RB well)) (VBN received) (PP (IN by) (NP (ADJP (DT both) (JJ critical) (CC and) (JJ literary)) (NNS critics))))) (. .))","In the end, the article that the editorial has been working on for three months and has finally submitted to the editorial board last week was well received by both critical and literary critics.",1,,1
181,383,gibbscomplete,coord_emb-VP,%% has been working on for three months and has finally submitted to the editorial board last week was %%.,"(S (SBAR (WHNP (WP What)) (S (NP (PRP he)) (VP (VP (VBZ has) (VP (VBN been) (VP (VBG working) (PP (IN on)) (PP (IN for) (NP (CD three) (NNS months)))))) (CC and) (VP (VBZ has) (ADVP (RB finally)) (VP (VBN submitted) (PP (TO to) (NP (DT the) (JJ editorial) (NN board))) (NP (JJ last) (NN week))))))) (VP (VBD was) (VP (VBG going) (S (VP (TO to) (VP (VB be) (ADJP (RB very) (, ,) (RB very) (JJ interesting))))))) (. .))","What he has been working on for three months and has finally submitted to the editorial board last week was going to be very, very interesting.",1,,1
182,352,gibbscomplete,coord_emb-VP,%% has been focusing on this puzzling mathematical problem for five years and finally made some promising progress was %%.,(S (S (NP (NP (DT A) (NN research) (NN group)) (SBAR (WHNP (WDT that)) (S (VP (VP (VBZ has) (VP (VBN been) (VP (VBG focusing) (PP (IN on) (NP (DT this) (JJ puzzling) (JJ mathematical) (NN problem))) (PP (IN for) (NP (CD five) (NNS years)))))) (CC and) (VP (ADVP (RB finally)) (VBD made) (NP (DT some) (JJ promising) (NN progress))))))) (VP (VBD was) (VP (VBN established)))) (: ;) (S (NP (PRP$ its) (NN work)) (VP (VBZ has) (VP (VBN spanned) (NP (QP (JJR more) (IN than) (CD two)) (NNS decades))))) (. .)),A research group that has been focusing on this puzzling mathematical problem for five years and finally made some promising progress was established; its work has spanned more than two decades.,1,,1
183,103,gibbscomplete,coord_emb-VP,%% has been focusing on this puzzling mathematical problem for five years and finally made some promising progress was %%.,(S (NP (PRP He)) (VP (VBZ is) (NP (NP (DT an) (JJ amateur) (NN computer) (NN scientist)) (SBAR (WHNP (WP who)) (S (VP (VP (VBZ has) (VP (VBN been) (VP (VBG focusing) (PP (IN on) (NP (DT this) (JJ puzzling) (JJ mathematical) (NN problem))) (PP (IN for) (NP (CD five) (NNS years)))))) (CC and) (VP (ADVP (RB finally)) (VBD made) (NP (DT some) (JJ promising) (NN progress)) (VBD was) (S (VP (VBG using) (NP (NP (JJ new) (NNS versions)) (PP (IN of) (NP (DT the) (NN system)))))))))))) (. .)),He is an amateur computer scientist who has been focusing on this puzzling mathematical problem for five years and finally made some promising progress was using new versions of the system.,0,,0
184,211,gibbscomplete,coord_gap-NP,%% what the senators who support the proposal and those who oppose %% the steps moving forward.,"(S (SBAR (IN If) (S (NP (DT that)) (VP (VBZ is) (SBAR (WHNP (WP what)) (S (NP (NP (NP (DT the) (NNS senators)) (SBAR (WHNP (WP who)) (S (VP (VBP support) (NP (DT the) (NN proposal)))))) (CC and) (NP (NP (DT those)) (SBAR (WHNP (WP who)) (S (VP (VBP oppose) (NP (PRP it))))))) (VP (VBN come) (ADVP (RB up)) (PP (IN with)))))))) (, ,) (NP (PRP we)) (VP (MD shall) (VP (VB come) (PRT (RP up)) (PP (IN with) (NP (NP (DT the) (NNS steps)) (VP (VBG moving) (ADVP (RB forward))))))) (. .))","If that is what the senators who support the proposal and those who oppose it come up with, we shall come up with the steps moving forward.",1,,1
185,256,gibbscomplete,coord_gap-NP,%% what the senators who support the proposal and those who oppose %% the steps moving forward.,"(S (S (VP (VBG Watching) (SBAR (WHNP (WP what)) (S (NP (NP (NP (DT the) (NNS senators)) (SBAR (WHNP (WP who)) (S (VP (VBP support) (NP (DT the) (NN proposal)))))) (CC and) (NP (NP (DT those)) (SBAR (WHNP (WP who)) (S (VP (VBP oppose) (NP (PRP it))))))) (VP (VBP are) (VP (VBG saying))))))) (, ,) (NP (PRP you)) (VP (MD can) (VP (VB see) (NP (NP (DT some)) (PP (IN of) (NP (NP (DT the) (NNS steps)) (VP (VBG moving) (ADVP (RB forward)))))))) (. .))","Watching what the senators who support the proposal and those who oppose it are saying, you can see some of the steps moving forward.",1,,1
186,202,gibbscomplete,coord_gap-NP,%% what the writer and the readers %% the novel.,(S (: .) (: .) (CC But) (SBAR (WHNP (WP what)) (S (NP (NP (DT the) (NN writer)) (CC and) (NP (DT the) (NNS readers))) (VP (VBP are) (VP (VBN forced) (S (VP (TO to) (VP (VB say)))))))) (VP (VBZ is) (NP (NP (DT the) (ADJP (RBS most) (JJ important)) (NN part)) (PP (IN of) (NP (DT the) (NN novel))))) (. .)),. . But what the writer and the readers are forced to say is the most important part of the novel.,1,,1
